人	名詞,一般,*,*,*,*,人,ヒト,ヒト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
」	記号,括弧閉,*,*,*,*,」,」,」
　	記号,空白,*,*,*,*,　,　,　
安倍	名詞,固有名詞,人名,姓,*,*,安倍,アベ,アベ
首相	名詞,一般,*,*,*,*,首相,シュショウ,シュショー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
夜	名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
の	助詞,連体化,*,*,*,*,の,ノ,ノ
テレビ朝日	名詞,固有名詞,組織,*,*,*,テレビ朝日,テレビアサヒ,テレビアサヒ
番組	名詞,一般,*,*,*,*,番組,バングミ,バングミ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
選	名詞,接尾,一般,*,*,*,選,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
自民党	名詞,固有名詞,組織,*,*,*,自民党,ジミントウ,ジミントー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
オリンピック	名詞,一般,*,*,*,*,オリンピック,オリンピック,オリンピック
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
導ける	動詞,自立,*,*,一段,基本形,導ける,ミチビケル,ミチビケル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
、	記号,読点,*,*,*,*,、,、,、
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
選び	動詞,自立,*,*,五段・バ行,連用形,選ぶ,エラビ,エラビ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
発信	名詞,サ変接続,*,*,*,*,発信,ハッシン,ハッシン
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
述べ	動詞,自立,*,*,一段,連用形,述べる,ノベ,ノベ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
ELECTION	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
23	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
13	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
"
"丸川	名詞,固有名詞,人名,姓,*,*,丸川,マルカワ,マルカワ
珠代	名詞,固有名詞,人名,名,*,*,珠代,タマヨ,タマヨ
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
固辞	名詞,サ変接続,*,*,*,*,固辞,コジ,コジ
、	記号,読点,*,*,*,*,、,、,、
下村	名詞,固有名詞,人名,姓,*,*,下村,シモムラ,シモムラ
文科	名詞,一般,*,*,*,*,文科,ブンカ,ブンカ
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
も	助詞,係助詞,*,*,*,*,も,モ,モ
…	記号,一般,*,*,*,*,…,…,…
都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
選	名詞,接尾,一般,*,*,*,選,セン,セン
　	記号,空白,*,*,*,*,　,　,　
自民党	名詞,固有名詞,組織,*,*,*,自民党,ジミントウ,ジミントー
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
都	名詞,接尾,地域,*,*,*,都,ト,ト
連	名詞,一般,*,*,*,*,連,レン,レン
（	記号,括弧開,*,*,*,*,（,（,（
石原	名詞,固有名詞,人名,姓,*,*,石原,イシハラ,イシハラ
伸晃	名詞,固有名詞,人名,名,*,*,伸晃,ノブアキ,ノブアキ
会長	名詞,一般,*,*,*,*,会長,カイチョウ,カイチョー
）	記号,括弧閉,*,*,*,*,）,）,）
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
都内	名詞,一般,*,*,*,*,都内,トナイ,トナイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ホテル	名詞,一般,*,*,*,*,ホテル,ホテル,ホテル
で	助詞,格助詞,一般,*,*,*,で,デ,デ
幹部	名詞,一般,*,*,*,*,幹部,カンブ,カンブ
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開き	動詞,自立,*,*,五段・カ行イ音便,連用形,開く,ヒラキ,ヒラキ
、	記号,読点,*,*,*,*,、,、,、
１月	名詞,副詞可能,*,*,*,*,１月,イチガツ,イチガツ
上旬	名詞,副詞可能,*,*,*,*,上旬,ジョウジュン,ジョージュン
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
選	名詞,接尾,一般,*,*,*,選,セン,セン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
決定	名詞,サ変接続,*,*,*,*,決定,ケッテイ,ケッテイ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
ELECTION	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
都	名詞,一般,*,*,*,*,都,ト,ト
連	名詞,一般,*,*,*,*,連,レン,レン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
当初	名詞,副詞可能,*,*,*,*,当初,トウショ,トーショ
、	記号,読点,*,*,*,*,、,、,、
年内	名詞,一般,*,*,*,*,年内,ネンナイ,ネンナイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
決定	名詞,サ変接続,*,*,*,*,決定,ケッテイ,ケッテイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指し	動詞,自立,*,*,五段・サ行,連用形,目指す,メザシ,メザシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
事前	名詞,一般,*,*,*,*,事前,ジゼン,ジゼン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
独自	名詞,形容動詞語幹,*,*,*,*,独自,ドクジ,ドクジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世論	名詞,一般,*,*,*,*,世論,セロン,セロン
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
、	記号,読点,*,*,*,*,、,、,、
「	記号,括弧開,*,*,*,*,「,「,「
勝てる	動詞,自立,*,*,一段,基本形,勝てる,カテル,カテル
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
」	記号,括弧閉,*,*,*,*,」,」,」
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
慎重	名詞,形容動詞語幹,*,*,*,*,慎重,シンチョウ,シンチョー
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
選ぶ	動詞,自立,*,*,五段・バ行,基本形,選ぶ,エラブ,エラブ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
都議会	名詞,一般,*,*,*,*,都議会,トギカイ,トギカイ
自民党	名詞,固有名詞,組織,*,*,*,自民党,ジミントウ,ジミントー
幹部	名詞,一般,*,*,*,*,幹部,カンブ,カンブ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
都	名詞,一般,*,*,*,*,都,ト,ト
選出	名詞,サ変接続,*,*,*,*,選出,センシュツ,センシュツ
国会	名詞,一般,*,*,*,*,国会,コッカイ,コッカイ
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出席	名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ
。	記号,句点,*,*,*,*,。,。,。
都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
選	名詞,接尾,一般,*,*,*,選,セン,セン
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
１月	名詞,副詞可能,*,*,*,*,１月,イチガツ,イチガツ
２	名詞,数,*,*,*,*,２,ニ,ニ
３	名詞,数,*,*,*,*,３,サン,サン
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
告示	名詞,サ変接続,*,*,*,*,告示,コクジ,コクジ
、	記号,読点,*,*,*,*,、,、,、
２月	名詞,副詞可能,*,*,*,*,２月,ニガツ,ニガツ
９	名詞,数,*,*,*,*,９,キュウ,キュー
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
投開票	名詞,サ変接続,*,*,*,*,投開票,トウカイヒョウ,トーカイヒョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
念頭	名詞,一般,*,*,*,*,念頭,ネントウ,ネントー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
候補	名詞,一般,*,*,*,*,候補,コウホ,コーホ
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
選定	名詞,サ変接続,*,*,*,*,選定,センテイ,センテイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
方針	名詞,一般,*,*,*,*,方針,ホウシン,ホーシン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
出馬	名詞,サ変接続,*,*,*,*,出馬,シュツバ,シュツバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
可能	名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
性	名詞,接尾,一般,*,*,*,性,セイ,セイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
指摘	名詞,サ変接続,*,*,*,*,指摘,シテキ,シテキ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
下村	名詞,固有名詞,人名,姓,*,*,下村,シモムラ,シモムラ
文部	名詞,一般,*,*,*,*,文部,モンブ,モンブ
科学	名詞,一般,*,*,*,*,科学,カガク,カガク
相	名詞,接尾,一般,*,*,*,相,ショウ,ショー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
会議	名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
「	記号,括弧開,*,*,*,*,「,「,「
出馬	名詞,サ変接続,*,*,*,*,出馬,シュツバ,シュツバ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意思	名詞,サ変接続,*,*,*,*,意思,イシ,イシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
明言	名詞,サ変接続,*,*,*,*,明言,メイゲン,メイゲン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
橋本	名詞,固有名詞,人名,姓,*,*,橋本,ハシモト,ハシモト
聖子	名詞,固有名詞,人名,名,*,*,聖子,セイコ,セイコ
参院	名詞,固有名詞,組織,*,*,*,参院,サンイン,サンイン
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
ソチ	名詞,固有名詞,地域,一般,*,*,ソチ,ソチ,ソチ
冬季	名詞,一般,*,*,*,*,冬季,トウキ,トーキ
五輪	名詞,一般,*,*,*,*,五輪,ゴリン,ゴリン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
団	名詞,接尾,一般,*,*,*,団,ダン,ダン
団長	名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
務め	動詞,自立,*,*,一段,連用形,務める,ツトメ,ツトメ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
声	名詞,一般,*,*,*,*,声,コエ,コエ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
、	記号,読点,*,*,*,*,、,、,、
党内	名詞,一般,*,*,*,*,党内,トウナイ,トーナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
推す	動詞,自立,*,*,五段・サ行,基本形,推す,オス,オス
声	名詞,一般,*,*,*,*,声,コエ,コエ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
丸川	名詞,固有名詞,人名,姓,*,*,丸川,マルカワ,マルカワ
珠代	名詞,固有名詞,人名,名,*,*,珠代,タマヨ,タマヨ
参院	名詞,固有名詞,組織,*,*,*,参院,サンイン,サンイン
議員	名詞,一般,*,*,*,*,議員,ギイン,ギイン
も	助詞,係助詞,*,*,*,*,も,モ,モ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
固辞	名詞,サ変接続,*,*,*,*,固辞,コジ,コジ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
伝え	動詞,自立,*,*,一段,未然形,伝える,ツタエ,ツタエ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
一方	接続詞,*,*,*,*,*,一方,イッポウ,イッポー
、	記号,読点,*,*,*,*,、,、,、
民主党	名詞,固有名詞,組織,*,*,*,民主党,ミンシュトウ,ミンシュトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
海江田	名詞,固有名詞,人名,姓,*,*,海江田,カイエダ,カイエダ
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
都知事	名詞,一般,*,*,*,*,都知事,トチジ,トチジ
選	名詞,接尾,一般,*,*,*,選,セン,セン
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対応	名詞,サ変接続,*,*,*,*,対応,タイオウ,タイオー
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
福島	名詞,固有名詞,地域,一般,*,*,福島,フクシマ,フクシマ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
郡山	名詞,固有名詞,地域,一般,*,*,郡山,コオリヤマ,コーリヤマ
市	名詞,接尾,地域,*,*,*,市,シ,シ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
